time	V(n002)
0.000000000000000e+000	3.000000e+000
2.441406278530511e-011	7.499962e-001
4.882812557061023e-011	-7.469722e-006
2.286132839215972e-007	-3.403593e-002
4.571777397176237e-007	-6.760099e-002
6.857421955136502e-007	-1.007026e-001
9.143066513096768e-007	-1.333409e-001
1.142871107105703e-006	-1.655158e-001
1.371435562901730e-006	-1.972272e-001
1.600000018697756e-006	-2.284753e-001
3.200000037395512e-006	-4.374435e-001
5.641406287395512e-006	-7.288367e-001
8.082812537395513e-006	-9.893512e-001
1.052421878739551e-005	-1.219342e+000
1.296562503739551e-005	-1.422192e+000
1.540703128739551e-005	-1.600909e+000
1.784843753739551e-005	-1.758169e+000
2.028984378739551e-005	-1.896351e+000
2.273125003739551e-005	-2.017572e+000
2.517265628739551e-005	-2.123716e+000
2.761406253739551e-005	-2.216458e+000
3.249687503739550e-005	-2.367525e+000
3.737968753739551e-005	-2.480824e+000
4.226250003739551e-005	-2.564304e+000
4.958671878739552e-005	-2.647003e+000
5.481830360882409e-005	-2.676649e+000
6.004988843025267e-005	-2.698066e+000
6.528147325168125e-005	-2.711255e+000
7.051305807310982e-005	-2.716215e+000
7.574464289453840e-005	-2.712946e+000
8.097622771596698e-005	-2.701449e+000
8.620781253739555e-005	-2.681724e+000
9.946116075168127e-005	-2.625424e+000
1.127145089659670e-004	-2.567444e+000
1.259678571802527e-004	-2.507783e+000
1.392212053945385e-004	-2.446441e+000
1.524745536088242e-004	-2.383419e+000
1.657279018231099e-004	-2.318716e+000
1.789812500373956e-004	-2.252333e+000
2.229265625373957e-004	-2.058462e+000
2.668718750373958e-004	-1.878415e+000
3.108171875373958e-004	-1.712192e+000
3.547625000373958e-004	-1.559794e+000
3.987078125373959e-004	-1.421220e+000
4.426531250373960e-004	-1.296471e+000
4.865984375373959e-004	-1.185546e+000
5.301949777159665e-004	-1.084137e+000
5.737915178945370e-004	-9.899353e-001
6.173880580731075e-004	-9.029417e-001
6.609845982516780e-004	-8.231559e-001
7.045811384302485e-004	-7.505778e-001
7.481776786088190e-004	-6.852075e-001
7.917742187873894e-004	-6.270449e-001
8.353707589659600e-004	-5.734088e-001
8.789672991445305e-004	-5.235850e-001
9.225638393231010e-004	-4.775734e-001
9.661603795016716e-004	-4.353740e-001
1.009756919680242e-003	-3.969868e-001
1.053353459858813e-003	-3.624119e-001
1.096950000037383e-003	-3.316492e-001
1.140546540215954e-003	-3.032807e-001
1.184143080394524e-003	-2.769284e-001
1.227739620573095e-003	-2.525925e-001
1.271336160751665e-003	-2.302729e-001
1.314932700930236e-003	-2.099696e-001
1.358529241108806e-003	-1.916827e-001
1.402125781287377e-003	-1.754120e-001
1.445722321465947e-003	-1.604077e-001
1.489318861644518e-003	-1.464697e-001
1.532915401823088e-003	-1.335983e-001
1.576511942001659e-003	-1.217932e-001
1.620108482180229e-003	-1.110547e-001
1.663705022358800e-003	-1.013825e-001
1.707301562537370e-003	-9.277687e-002
1.750898102715941e-003	-8.484094e-002
1.794494642894511e-003	-7.746906e-002
1.838091183073082e-003	-7.066123e-002
1.881687723251652e-003	-6.441746e-002
1.925284263430223e-003	-5.873774e-002
1.968880803608793e-003	-5.362207e-002
2.012477343787364e-003	-4.907046e-002
2.056422656287363e-003	-4.484203e-002
2.100367968787362e-003	-4.091600e-002
2.144313281287361e-003	-3.729237e-002
2.188258593787360e-003	-3.397114e-002
2.232203906287359e-003	-3.095231e-002
2.276149218787358e-003	-2.823589e-002
2.320094531287357e-003	-2.582186e-002
2.339277008965928e-003	-2.481214e-002
2.358459486644499e-003	-2.383847e-002
2.377641964323070e-003	-2.290084e-002
2.396824442001641e-003	-2.199926e-002
2.416006919680212e-003	-2.113373e-002
2.435189397358783e-003	-2.030424e-002
2.454371875037354e-003	-1.951079e-002
2.456813281287354e-003	-1.941163e-002
2.498317187537353e-003	-1.780085e-002
2.500000000000000e-003	-1.773836e-002
