time	V(n002)
0.000000000000000e+000	2.250000e+000
2.441406278530511e-011	5.624955e-001
4.882812557061023e-011	-8.972409e-006
4.571847151641338e-007	-8.174740e-002
9.143206022026970e-007	-1.626464e-001
1.371456489241260e-006	-2.427060e-001
1.828592376279823e-006	-3.219262e-001
2.285728263318387e-006	-4.003069e-001
2.742864150356950e-006	-4.778483e-001
3.200000037395512e-006	-5.545502e-001
5.641406287395512e-006	-9.549050e-001
8.082812537395513e-006	-1.337323e+000
1.052421878739551e-005	-1.700738e+000
1.296562503739551e-005	-2.045845e+000
1.540703128739551e-005	-2.373314e+000
1.784843753739551e-005	-2.683796e+000
2.028984378739551e-005	-2.977920e+000
2.517265628739551e-005	-3.519508e+000
3.005546878739551e-005	-4.002711e+000
3.493828128739551e-005	-4.431864e+000
3.982109378739551e-005	-4.811020e+000
4.714531253739552e-005	-5.294238e+000
5.446953128739552e-005	-5.685199e+000
6.179375003739552e-005	-5.994526e+000
6.842042414453839e-005	-6.199399e+000
7.504709825168125e-005	-6.364843e+000
8.167377235882412e-005	-6.490858e+000
8.830044646596699e-005	-6.577443e+000
9.492712057310985e-005	-6.624600e+000
1.015537946802527e-004	-6.632328e+000
1.081804687873956e-004	-6.600626e+000
1.172485491445384e-004	-6.519469e+000
1.263166295016813e-004	-6.415432e+000
1.353847098588242e-004	-6.288516e+000
1.444527902159670e-004	-6.138720e+000
1.535208705731099e-004	-5.966045e+000
1.625889509302528e-004	-5.770489e+000
1.716570312873956e-004	-5.552055e+000
1.842128348588242e-004	-5.244915e+000
1.967686384302528e-004	-4.941765e+000
2.093244420016814e-004	-4.642606e+000
2.218802455731100e-004	-4.347438e+000
2.344360491445385e-004	-4.056260e+000
2.469918527159671e-004	-3.769073e+000
2.595476562873957e-004	-3.485877e+000
2.780325893231100e-004	-3.105224e+000
2.965175223588243e-004	-2.753664e+000
3.150024553945386e-004	-2.431195e+000
3.334873884302529e-004	-2.137818e+000
3.519723214659672e-004	-1.873533e+000
3.704572545016815e-004	-1.638340e+000
3.889421875373958e-004	-1.432239e+000
4.018467634302530e-004	-1.302304e+000
4.147513393231101e-004	-1.181534e+000
4.276559152159673e-004	-1.069927e+000
4.405604911088245e-004	-9.674855e-001
4.534650670016816e-004	-8.742078e-001
4.663696428945387e-004	-7.900943e-001
4.792742187873959e-004	-7.151450e-001
4.911324777159671e-004	-6.518234e-001
5.029907366445383e-004	-5.929739e-001
5.148489955731095e-004	-5.385964e-001
5.267072545016808e-004	-4.886909e-001
5.385655134302520e-004	-4.432575e-001
5.504237723588231e-004	-4.022962e-001
5.622820312873943e-004	-3.658069e-001
5.734427455731084e-004	-3.341470e-001
5.846034598588224e-004	-3.047040e-001
5.957641741445365e-004	-2.774778e-001
6.069248884302505e-004	-2.524686e-001
6.180856027159646e-004	-2.296763e-001
6.292463170016787e-004	-2.091008e-001
6.404070312873927e-004	-1.907423e-001
6.512189732516781e-004	-1.743384e-001
6.620309152159637e-004	-1.590842e-001
6.728428571802491e-004	-1.449797e-001
6.836547991445346e-004	-1.320249e-001
6.944667411088201e-004	-1.202198e-001
7.052786830731056e-004	-1.095644e-001
7.160906250373911e-004	-1.000587e-001
7.269025670016765e-004	-9.130355e-002
7.377145089659620e-004	-8.317362e-002
7.485264509302475e-004	-7.566888e-002
7.593383928945330e-004	-6.878934e-002
7.701503348588185e-004	-6.253501e-002
7.809622768231040e-004	-5.690588e-002
7.917742187873894e-004	-5.190196e-002
8.022373884302463e-004	-4.743518e-002
8.127005580731033e-004	-4.328384e-002
8.231637277159602e-004	-3.944794e-002
