time	V(n002)
0.000000000000000e+000	2.000000e+000
2.441406278530511e-011	4.999950e-001
4.882812557061023e-011	-9.969352e-006
2.549818643735563e-006	-5.106194e-001
5.099588459345556e-006	-1.020077e+000
7.649358274955548e-006	-1.528382e+000
1.019912809056554e-005	-2.035536e+000
1.274889790617553e-005	-2.541537e+000
1.529866772178553e-005	-3.046387e+000
1.784843753739551e-005	-3.550084e+000
2.412633932310980e-005	-4.789163e+000
3.040424110882409e-005	-5.997826e+000
3.668214289453838e-005	-7.176072e+000
4.296004468025267e-005	-8.323902e+000
4.923794646596696e-005	-9.441315e+000
5.551584825168125e-005	-1.052831e+001
6.179375003739552e-005	-1.158489e+001
7.190814735882411e-005	-1.320220e+001
8.202254468025269e-005	-1.465256e+001
9.213694200168126e-005	-1.593599e+001
1.022513393231099e-004	-1.705246e+001
1.123657366445384e-004	-1.800200e+001
1.224801339659670e-004	-1.878459e+001
1.325945312873956e-004	-1.940025e+001
1.454991071802527e-004	-1.984722e+001
1.584036830731099e-004	-1.997461e+001
1.713082589659671e-004	-1.978239e+001
1.842128348588242e-004	-1.927058e+001
1.971174107516814e-004	-1.843917e+001
2.100219866445385e-004	-1.728816e+001
2.229265625373957e-004	-1.581755e+001
2.302507812873957e-004	-1.486482e+001
2.375750000373957e-004	-1.384706e+001
2.448992187873957e-004	-1.276427e+001
2.522234375373957e-004	-1.161647e+001
2.595476562873957e-004	-1.040363e+001
2.668718750373957e-004	-9.125775e+000
2.741960937873957e-004	-7.782893e+000
2.780325893231100e-004	-7.067976e+000
2.818690848588243e-004	-6.345349e+000
2.857055803945386e-004	-5.615014e+000
2.895420759302529e-004	-4.876970e+000
2.933785714659672e-004	-4.131217e+000
2.972150670016814e-004	-3.377756e+000
3.010515625373957e-004	-2.616585e+000
3.027954241445386e-004	-2.270237e+000
3.045392857516814e-004	-1.923461e+000
3.062831473588243e-004	-1.576260e+000
3.080270089659672e-004	-1.228632e+000
3.097708705731100e-004	-8.805784e-001
3.115147321802529e-004	-5.320981e-001
3.132585937873957e-004	-1.831915e-001
3.157000000373957e-004	3.057027e-001
3.181414062873957e-004	7.936893e-001
3.205828125373957e-004	1.280768e+000
3.230242187873957e-004	1.766939e+000
3.254656250373957e-004	2.252203e+000
3.279070312873958e-004	2.736559e+000
3.303484375373958e-004	3.220007e+000
3.362775670016815e-004	4.393565e+000
3.422066964659672e-004	5.541858e+000
3.481358259302529e-004	6.664886e+000
3.540649553945386e-004	7.762650e+000
3.599940848588244e-004	8.835149e+000
3.659232143231101e-004	9.882383e+000
3.718523437873958e-004	1.090435e+001
3.816179687873958e-004	1.251629e+001
3.913835937873958e-004	1.397836e+001
4.011492187873958e-004	1.529057e+001
4.109148437873958e-004	1.645291e+001
4.206804687873958e-004	1.746540e+001
4.304460937873958e-004	1.832802e+001
