time	V(salida)
0.000000000000000e+000	3.448411e-003
9.064713531994603e-006	2.998525e-003
1.812942706398921e-005	2.580153e-003
2.719414059598381e-005	2.193294e-003
3.625885412797841e-005	1.837949e-003
4.532356765997302e-005	1.514118e-003
5.438828119196761e-005	1.221800e-003
6.345299472396221e-005	9.609959e-004
7.077721347396221e-005	7.661399e-004
7.810143222396222e-005	5.875816e-004
8.542565097396222e-005	4.245361e-004
9.274986972396223e-005	2.762216e-004
9.763268222396224e-005	1.851458e-004
1.025154947239622e-004	1.000447e-004
1.073983072239622e-004	2.069319e-005
1.122811197239623e-004	-5.313117e-005
1.171639322239623e-004	-1.216479e-004
1.244881509739623e-004	-2.149432e-004
1.318123697239623e-004	-2.974964e-004
1.391365884739623e-004	-3.700023e-004
1.464608072239623e-004	-4.331346e-004
1.544825706168194e-004	-4.904619e-004
1.625043340096766e-004	-5.400150e-004
1.705260974025337e-004	-5.817937e-004
1.785478607953909e-004	-6.157981e-004
1.865696241882480e-004	-6.420281e-004
1.945913875811052e-004	-6.604839e-004
2.026131509739623e-004	-6.711653e-004
2.127275482953909e-004	-6.768475e-004
2.228419456168195e-004	-6.773796e-004
2.329563429382480e-004	-6.727617e-004
2.430707402596766e-004	-6.629937e-004
2.531851375811052e-004	-6.480757e-004
2.632995349025338e-004	-6.280077e-004
2.734139322239623e-004	-6.027896e-004
2.859697357953909e-004	-5.688865e-004
2.985255393668195e-004	-5.343004e-004
3.110813429382481e-004	-4.990315e-004
3.236371465096767e-004	-4.630797e-004
3.361929500811053e-004	-4.264451e-004
3.487487536525338e-004	-3.891275e-004
3.613045572239624e-004	-3.511270e-004
3.878112536525337e-004	-2.783747e-004
4.143179500811050e-004	-2.141596e-004
4.408246465096762e-004	-1.584818e-004
4.673313429382475e-004	-1.113411e-004
4.938380393668188e-004	-7.273768e-005
5.203447357953901e-004	-4.267147e-005
5.468514322239613e-004	-2.114248e-005
5.656851375811038e-004	-9.792525e-006
5.845188429382462e-004	-2.893420e-007
6.033525482953886e-004	7.367072e-006
6.221862536525311e-004	1.317672e-005
6.410199590096736e-004	1.713959e-005
6.598536643668161e-004	1.925570e-005
6.786873697239585e-004	1.952504e-005
7.079842447239578e-004	1.862164e-005
7.372811197239572e-004	1.740147e-005
7.665779947239566e-004	1.586452e-005
7.958748697239560e-004	1.401079e-005
8.251717447239554e-004	1.184029e-005
8.544686197239548e-004	9.353019e-006
8.837654947239541e-004	6.548968e-006
9.486371465096670e-004	3.774947e-006
1.013508798295380e-003	1.602664e-006
1.078380450081093e-003	3.211885e-008
1.143252101866806e-003	-9.366877e-007
1.208123753652519e-003	-1.303756e-006
1.272995405438232e-003	-1.069086e-006
1.337867057223945e-003	-2.326776e-007
2.487769400973920e-003	1.843581e-012
2.497535025973920e-003	4.463973e-012
2.499000000000000e-003	4.662992e-012
