time	V(salida)
0.000000000000000e+000	3.922621e-003
1.112681337590839e-005	3.842440e-003
2.225362675181679e-005	3.722908e-003
3.338044012772518e-005	3.564025e-003
4.450725350363358e-005	3.365791e-003
5.563406687954197e-005	3.128206e-003
6.676088025545036e-005	2.851270e-003
7.788769363135874e-005	2.534983e-003
8.521191238135875e-005	2.312634e-003
9.253613113135875e-005	2.082928e-003
9.986034988135876e-005	1.845864e-003
1.071845686313588e-004	1.601441e-003
1.145087873813588e-004	1.349661e-003
1.218330061313588e-004	1.090523e-003
1.291572248813588e-004	8.240262e-004
1.343888097027874e-004	6.332516e-004
1.396203945242159e-004	4.430293e-004
1.448519793456445e-004	2.533593e-004
1.500835641670731e-004	6.424169e-005
1.553151489885017e-004	-1.243236e-004
1.605467338099303e-004	-3.123366e-004
1.657783186313588e-004	-4.997973e-004
1.727537650599303e-004	-7.469735e-004
1.797292114885017e-004	-9.862091e-004
1.867046579170731e-004	-1.217504e-003
1.936801043456446e-004	-1.440859e-003
2.006555507742160e-004	-1.656272e-003
2.076309972027874e-004	-1.863746e-003
2.146064436313589e-004	-2.063278e-003
2.271622472027875e-004	-2.395648e-003
2.397180507742160e-004	-2.679351e-003
2.522738543456446e-004	-2.914387e-003
2.648296579170732e-004	-3.100757e-003
2.773854614885018e-004	-3.238460e-003
2.899412650599303e-004	-3.327496e-003
3.024970686313589e-004	-3.367866e-003
3.143553275599304e-004	-3.347068e-003
3.262135864885018e-004	-3.285143e-003
3.380718454170732e-004	-3.182091e-003
3.499301043456447e-004	-3.037911e-003
3.617883632742161e-004	-2.852605e-003
3.736466222027876e-004	-2.626172e-003
3.855048811313590e-004	-2.358611e-003
3.931778722027875e-004	-2.170681e-003
4.008508632742161e-004	-1.974688e-003
4.085238543456447e-004	-1.770635e-003
4.161968454170733e-004	-1.558519e-003
4.238698364885018e-004	-1.338343e-003
4.315428275599305e-004	-1.110104e-003
4.392158186313590e-004	-8.738041e-004
4.733955061313590e-004	1.847553e-004
4.796734079170732e-004	3.783129e-004
4.859513097027874e-004	5.674610e-004
4.922292114885016e-004	7.521995e-004
4.985071132742158e-004	9.325284e-004
5.047850150599300e-004	1.108448e-003
5.110629168456442e-004	1.279958e-003
5.173408186313584e-004	1.447058e-003
5.278039882742153e-004	1.712428e-003
5.382671579170723e-004	1.951578e-003
5.487303275599292e-004	2.164508e-003
5.591934972027860e-004	2.351216e-003
5.696566668456430e-004	2.511705e-003
5.801198364884999e-004	2.645972e-003
5.905830061313568e-004	2.754020e-003
6.045338989884994e-004	2.840267e-003
6.184847918456419e-004	2.874055e-003
6.324356847027845e-004	2.855384e-003
6.463865775599271e-004	2.784253e-003
6.603374704170697e-004	2.660661e-003
6.742883632742122e-004	2.484611e-003
6.882392561313547e-004	2.256100e-003
6.966097918456402e-004	2.099847e-003
7.049803275599258e-004	1.933639e-003
7.133508632742113e-004	1.757474e-003
7.217213989884969e-004	1.571353e-003
7.300919347027824e-004	1.375276e-003
7.384624704170680e-004	1.169243e-003
7.468330061313535e-004	9.532542e-004
7.524133632742105e-004	8.076831e-004
7.579937204170676e-004	6.615670e-004
7.635740775599246e-004	5.149060e-004
7.691544347027816e-004	3.677001e-004
7.747347918456387e-004	2.199493e-004
7.803151489884957e-004	7.165354e-005
7.858955061313527e-004	-7.718713e-005
7.921734079170668e-004	-2.435547e-004
7.984513097027809e-004	-4.064393e-004
8.047292114884951e-004	-5.658409e-004
8.110071132742092e-004	-7.217596e-004
8.172850150599234e-004	-8.741954e-004
8.235629168456376e-004	-1.023148e-003
8.298408186313517e-004	-1.168618e-003
8.403039882742086e-004	-1.400540e-003
8.507671579170656e-004	-1.610504e-003
8.612303275599225e-004	-1.798509e-003
8.716934972027794e-004	-1.964555e-003
8.821566668456364e-004	-2.108642e-003
8.926198364884933e-004	-2.230770e-003
9.030830061313502e-004	-2.330940e-003
9.173826713099213e-004	-2.416721e-003
9.316823364884924e-004	-2.455192e-003
9.459820016670636e-004	-2.446355e-003
9.602816668456347e-004	-2.390208e-003
9.745813320242058e-004	-2.286752e-003
9.888809972027771e-004	-2.135986e-003
1.003180662381348e-003	-1.937911e-003
1.011551198095634e-003	-1.805240e-003
1.019921733809919e-003	-1.663969e-003
1.028292269524205e-003	-1.514099e-003
1.036662805238490e-003	-1.355629e-003
1.045033340952776e-003	-1.188560e-003
1.053403876667061e-003	-1.012892e-003
1.061774412381347e-003	-8.286239e-004
1.067354769524204e-003	-7.043691e-004
1.072935126667061e-003	-5.796043e-004
1.078515483809918e-003	-4.543297e-004
1.084095840952775e-003	-3.285452e-004
1.089676198095632e-003	-2.022508e-004
1.095256555238489e-003	-7.544649e-005
1.100836912381346e-003	5.186772e-005
1.107114814167060e-003	1.942291e-004
1.113392715952774e-003	3.336634e-004
1.119670617738489e-003	4.701707e-004
1.125948519524203e-003	6.037510e-004
1.132226421309917e-003	7.344043e-004
1.138504323095631e-003	8.621306e-004
1.144782224881345e-003	9.869299e-004
1.155245394524202e-003	1.186052e-003
1.165708564167059e-003	1.366485e-003
1.176171733809916e-003	1.528228e-003
1.186634903452773e-003	1.671281e-003
1.197098073095630e-003	1.795645e-003
1.207561242738487e-003	1.901318e-003
1.218024412381344e-003	1.988303e-003
1.232672849881343e-003	2.064571e-003
1.247321287381343e-003	2.098518e-003
1.261969724881343e-003	2.090145e-003
1.276618162381342e-003	2.039450e-003
1.291266599881342e-003	1.946434e-003
1.305915037381342e-003	1.811097e-003
1.320563474881341e-003	1.633439e-003
