time	V(n001)	V(n002)	I(L1)	I(L2)
4.368088359631279e-002	9.765038e-001	6.762557e-002	4.235605e-002	5.503930e-005
4.514231216774181e-002	9.749326e-001	7.214448e-002	4.367948e-002	6.072906e-005
4.660374073917083e-002	9.733134e-001	7.680107e-002	4.499373e-002	6.679697e-005
4.806516931059984e-002	9.716462e-001	8.159534e-002	4.629881e-002	7.324302e-005
4.952659788202887e-002	9.699309e-001	8.652728e-002	4.759472e-002	8.006721e-005
5.098802645345788e-002	9.681676e-001	9.159690e-002	4.888146e-002	8.726954e-005
5.099802645345788e-002	9.681554e-001	9.163204e-002	4.889022e-002	8.732043e-005
5.245945502488690e-002	9.663448e-001	9.683702e-002	5.016674e-002	9.494388e-005
5.392088359631592e-002	9.644888e-001	1.021719e-001	5.143223e-002	1.030216e-004
5.538231216774495e-002	9.625873e-001	1.076367e-001	5.268670e-002	1.115537e-004
5.684374073917396e-002	9.606404e-001	1.132315e-001	5.393015e-002	1.205401e-004
5.830516931060298e-002	9.586481e-001	1.189561e-001	5.516257e-002	1.299809e-004
5.976659788203200e-002	9.566103e-001	1.248107e-001	5.638397e-002	1.398760e-004
6.122802645346102e-002	9.545271e-001	1.307952e-001	5.759435e-002	1.502253e-004
6.123802645346102e-002	9.545127e-001	1.308366e-001	5.760259e-002	1.502980e-004
6.269945502488915e-002	9.523851e-001	1.369479e-001	5.880093e-002	1.611432e-004
6.416088359631728e-002	9.502151e-001	1.431800e-001	5.998652e-002	1.725140e-004
6.562231216774542e-002	9.480027e-001	1.495329e-001	6.115935e-002	1.844105e-004
6.708374073917355e-002	9.457479e-001	1.560065e-001	6.231942e-002	1.968328e-004
6.854516931060167e-002	9.434507e-001	1.626010e-001	6.346674e-002	2.097807e-004
7.000659788202980e-002	9.411111e-001	1.693162e-001	6.460129e-002	2.232544e-004
7.146802645345793e-002	9.387292e-001	1.761522e-001	6.572309e-002	2.372537e-004
7.147802645345792e-002	9.387127e-001	1.761993e-001	6.573071e-002	2.373516e-004
7.293945502488593e-002	9.362896e-001	1.831523e-001	6.683879e-002	2.519161e-004
7.440088359631393e-002	9.338276e-001	1.902156e-001	6.793251e-002	2.670720e-004
7.586231216774195e-002	9.313267e-001	1.973892e-001	6.901188e-002	2.828195e-004
7.732374073916995e-002	9.287868e-001	2.046732e-001	7.007688e-002	2.991585e-004
7.878516931059795e-002	9.262081e-001	2.120676e-001	7.112752e-002	3.160890e-004
8.024659788202596e-002	9.235904e-001	2.195724e-001	7.216380e-002	3.336110e-004
8.170802645345396e-002	9.209338e-001	2.271875e-001	7.318572e-002	3.517245e-004
8.171802645345395e-002	9.209155e-001	2.272399e-001	7.319266e-002	3.518508e-004
8.317945502488196e-002	9.182215e-001	2.349608e-001	7.419932e-002	3.705928e-004
8.464088359630996e-002	9.154924e-001	2.427805e-001	7.519017e-002	3.899860e-004
8.610231216773798e-002	9.127283e-001	2.506990e-001	7.616521e-002	4.100301e-004
8.756374073916598e-002	9.099291e-001	2.587162e-001	7.712444e-002	4.307253e-004
8.902516931059398e-002	9.070949e-001	2.668322e-001	7.806786e-002	4.520716e-004
9.048659788202199e-002	9.042256e-001	2.750470e-001	7.899547e-002	4.740688e-004
9.194802645344999e-002	9.013213e-001	2.833606e-001	7.990727e-002	4.967172e-004
9.195802645344998e-002	9.013013e-001	2.834178e-001	7.991344e-002	4.968746e-004
9.341945502487799e-002	8.983637e-001	2.918249e-001	8.080860e-002	5.202083e-004
9.488088359630599e-002	8.953952e-001	3.003181e-001	8.168666e-002	5.442456e-004
9.634231216773401e-002	8.923959e-001	3.088974e-001	8.254762e-002	5.689866e-004
9.780374073916201e-002	8.893658e-001	3.175629e-001	8.339149e-002	5.944313e-004
9.926516931059001e-002	8.863048e-001	3.263146e-001	8.421826e-002	6.205797e-004
1.007265978820180e-001	8.832129e-001	3.351523e-001	8.502794e-002	6.474318e-004
1.021880264534460e-001	8.800902e-001	3.440762e-001	8.582052e-002	6.749876e-004
1.021980264534460e-001	8.800688e-001	3.441375e-001	8.582588e-002	6.751788e-004
1.036594550248740e-001	8.769172e-001	3.531417e-001	8.660060e-002	7.034694e-004
1.051208835963020e-001	8.737393e-001	3.622184e-001	8.735713e-002	7.325088e-004
1.065823121677300e-001	8.705352e-001	3.713678e-001	8.809545e-002	7.622971e-004
1.080437407391580e-001	8.673046e-001	3.805897e-001	8.881557e-002	7.928343e-004
1.095051693105860e-001	8.640478e-001	3.898842e-001	8.951749e-002	8.241204e-004
1.109665978820141e-001	8.607647e-001	3.992512e-001	9.020121e-002	8.561553e-004
1.124280264534421e-001	8.574552e-001	4.086908e-001	9.086672e-002	8.889391e-004
1.124380264534420e-001	8.574325e-001	4.087556e-001	9.087121e-002	8.891661e-004
1.138994550248701e-001	8.540988e-001	4.182614e-001	9.151786e-002	9.227265e-004
1.153608835962981e-001	8.507437e-001	4.278255e-001	9.214538e-002	9.570729e-004
1.168223121677261e-001	8.473670e-001	4.374477e-001	9.275378e-002	9.922054e-004
1.182837407391541e-001	8.439687e-001	4.471282e-001	9.334307e-002	1.028124e-003
1.197451693105821e-001	8.405489e-001	4.568670e-001	9.391324e-002	1.064829e-003
1.212065978820101e-001	8.371076e-001	4.666640e-001	9.446429e-002	1.102320e-003
1.226680264534381e-001	8.336447e-001	4.765192e-001	9.499622e-002	1.140597e-003
1.226780264534381e-001	8.336210e-001	4.765868e-001	9.499980e-002	1.140861e-003
1.241394550248677e-001	8.301389e-001	4.864934e-001	9.551203e-002	1.179948e-003
1.256008835962972e-001	8.266402e-001	4.964432e-001	9.600443e-002	1.219850e-003
1.270623121677268e-001	8.231250e-001	5.064364e-001	9.647700e-002	1.260567e-003
1.285237407391564e-001	8.195933e-001	5.164728e-001	9.692974e-002	1.302099e-003
1.299851693105859e-001	8.160450e-001	5.265525e-001	9.736264e-002	1.344446e-003
1.314465978820155e-001	8.124802e-001	5.366754e-001	9.777571e-002	1.387608e-003
1.329080264534451e-001	8.088988e-001	5.468417e-001	9.816895e-002	1.431585e-003
1.329180264534451e-001	8.088743e-001	5.469114e-001	9.817157e-002	1.431889e-003
1.343794550248751e-001	8.052788e-001	5.571136e-001	9.854448e-002	1.476701e-003
1.358408835963051e-001	8.016719e-001	5.673436e-001	9.889706e-002	1.522348e-003
1.373023121677352e-001	7.980536e-001	5.776016e-001	9.922930e-002	1.568830e-003
1.387637407391652e-001	7.944239e-001	5.878873e-001	9.954119e-002	1.616148e-003
1.402251693105953e-001	7.907828e-001	5.982009e-001	9.983275e-002	1.664301e-003
1.416865978820253e-001	7.871304e-001	6.085424e-001	1.001040e-001	1.713289e-003
1.431480264534553e-001	7.834665e-001	6.189117e-001	1.003548e-001	1.763112e-003
1.431580264534553e-001	7.834414e-001	6.189827e-001	1.003565e-001	1.763456e-003
1.446194550248854e-001	7.797686e-001	6.293722e-001	1.005866e-001	1.814130e-003
1.460808835963154e-001	7.760898e-001	6.397738e-001	1.007962e-001	1.865651e-003
1.475423121677454e-001	7.724047e-001	6.501876e-001	1.009850e-001	1.918019e-003
1.490037407391755e-001	7.687135e-001	6.606134e-001	1.011533e-001	1.971233e-003
1.504651693106055e-001	7.650162e-001	6.710513e-001	1.013009e-001	2.025294e-003
1.519265978820355e-001	7.613127e-001	6.815014e-001	1.014279e-001	2.080201e-003
1.533880264534656e-001	7.576030e-001	6.919635e-001	1.015342e-001	2.135955e-003
1.533980264534656e-001	7.575777e-001	6.920351e-001	1.015349e-001	2.136340e-003
1.636380264534758e-001	7.315422e-001	7.652918e-001	1.016975e-001	2.550877e-003
1.738780264534861e-001	7.055951e-001	8.379732e-001	1.008459e-001	3.006963e-003
1.841180264534963e-001	6.799947e-001	9.093048e-001	9.899221e-002	3.504048e-003
1.943580264535065e-001	6.549947e-001	9.785255e-001	9.615892e-002	4.041149e-003
2.045980264535168e-001	6.308421e-001	1.044896e+000	9.237892e-002	4.616852e-003
2.148380264535270e-001	6.077739e-001	1.107705e+000	8.769497e-002	5.229332e-003
2.250780264535373e-001	5.860150e-001	1.166278e+000	8.215927e-002	5.876371e-003
2.353180264535475e-001	5.657759e-001	1.219986e+000	7.583298e-002	6.555375e-003
2.455580264535577e-001	5.472501e-001	1.268248e+000	6.878549e-002	7.263411e-003
2.557980264535680e-001	5.306126e-001	1.310539e+000	6.109377e-002	7.997227e-003
2.660380264535782e-001	5.160179e-001	1.346399e+000	5.284153e-002	8.753293e-003
2.762780264535885e-001	5.035980e-001	1.375430e+000	4.411831e-002	9.527834e-003
