Freq.	V(out)
3.10327406312532e+001	(-3.85448011268631e-003dB,-2.23510613618122e+000°)
3.12718421299510e+001	(-3.90554319292248e-003dB,-2.25232280166544e+000°)
3.15127858612558e+001	(-3.95739586036793e-003dB,-2.26967201562371e+000°)
3.17555860192277e+001	(-4.01005031956370e-003dB,-2.28715479692567e+000°)
3.20002569072889e+001	(-4.06351896354774e-003dB,-2.30477217223551e+000°)
3.22468129390671e+001	(-4.11781437677615e-003dB,-2.32252517607070e+000°)
3.24952686392444e+001	(-4.17294933801699e-003dB,-2.34041485086121e+000°)
3.27456386444125e+001	(-4.22893682342414e-003dB,-2.35844224700910e+000°)
3.29979377039357e+001	(-4.28579000951808e-003dB,-2.37660842294855e+000°)
3.32521806808193e+001	(-4.34352227631886e-003dB,-2.39491444520636e+000°)
3.35083825525852e+001	(-4.40214721042850e-003dB,-2.41336138846281e+000°)
3.37665584121543e+001	(-4.46167860829351e-003dB,-2.43195033561300e+000°)
3.40267234687359e+001	(-4.52213047937445e-003dB,-2.45068237782866e+000°)
3.42888930487231e+001	(-4.58351704943879e-003dB,-2.46955861462032e+000°)
3.45530825965963e+001	(-4.64585276395089e-003dB,-2.48858015390000e+000°)
3.48193076758325e+001	(-4.70915229136049e-003dB,-2.50774811204430e+000°)
3.50875839698226e+001	(-4.77343052662057e-003dB,-2.52706361395794e+000°)
3.53579272827951e+001	(-4.83870259464332e-003dB,-2.54652779313777e+000°)
3.56303535407469e+001	(-4.90498385386881e-003dB,-2.56614179173725e+000°)
3.59048787923820e+001	(-4.97228989979394e-003dB,-2.58590676063132e+000°)
3.61815192100567e+001	(-5.04063656873005e-003dB,-2.60582385948179e+000°)
3.64602910907321e+001	(-5.11003994143776e-003dB,-2.62589425680321e+000°)
3.67412108569344e+001	(-5.18051634690659e-003dB,-2.64611913002907e+000°)
3.70242950577225e+001	(-5.25208236619048e-003dB,-2.66649966557868e+000°)
3.73095603696625e+001	(-5.32475483627033e-003dB,-2.68703705892430e+000°)
3.75970235978106e+001	(-5.39855085403235e-003dB,-2.70773251465890e+000°)
3.78867016767024e+001	(-5.47348778025418e-003dB,-2.72858724656432e+000°)
3.81786116713514e+001	(-5.54958324361622e-003dB,-2.74960247767993e+000°)
3.84727707782537e+001	(-5.62685514493789e-003dB,-2.77077944037174e+000°)
3.87691963264011e+001	(-5.70532166125580e-003dB,-2.79211937640207e+000°)
3.90679057783021e+001	(-5.78500125014720e-003dB,-2.81362353699955e+000°)
3.93689167310108e+001	(-5.86591265400737e-003dB,-2.83529318292982e+000°)
3.96722469171630e+001	(-5.94807490449902e-003dB,-2.85712958456651e+000°)
3.99779142060214e+001	(-6.03150732689293e-003dB,-2.87913402196287e+000°)
4.02859366045279e+001	(-6.11622954471103e-003dB,-2.90130778492378e+000°)
4.05963322583646e+001	(-6.20226148421154e-003dB,-2.92365217307836e+000°)
4.09091194530229e+001	(-6.28962337915347e-003dB,-2.94616849595299e+000°)
4.12243166148801e+001	(-6.37833577542358e-003dB,-2.96885807304485e+000°)
4.15419423122857e+001	(-6.46841953589831e-003dB,-2.99172223389606e+000°)
4.18620152566546e+001	(-6.55989584532276e-003dB,-3.01476231816814e+000°)
4.21845543035699e+001	(-6.65278621523363e-003dB,-3.03797967571719e+000°)
4.25095784538933e+001	(-6.74711248900344e-003dB,-3.06137566666942e+000°)
4.28371068548847e+001	(-6.84289684696182e-003dB,-3.08495166149727e+000°)
4.31671588013300e+001	(-6.94016181153568e-003dB,-3.10870904109602e+000°)
4.34997537366779e+001	(-7.03893025253421e-003dB,-3.13264919686093e+000°)
4.38349112541854e+001	(-7.13922539250407e-003dB,-3.15677353076492e+000°)
4.41726510980715e+001	(-7.24107081216376e-003dB,-3.18108345543674e+000°)
4.45129931646811e+001	(-7.34449045580900e-003dB,-3.20558039423965e+000°)
4.48559575036566e+001	(-7.44950863706475e-003dB,-3.23026578135070e+000°)
4.52015643191193e+001	(-7.55615004444231e-003dB,-3.25514106184044e+000°)
4.55498339708593e+001	(-7.66443974711769e-003dB,-3.28020769175329e+000°)
4.59007869755352e+001	(-7.77440320083863e-003dB,-3.30546713818831e+000°)
4.62544440078826e+001	(-7.88606625379525e-003dB,-3.33092087938059e+000°)
4.66108259019322e+001	(-7.99945515271217e-003dB,-3.35657040478316e+000°)
4.69699536522369e+001	(-8.11459654891691e-003dB,-3.38241721514944e+000°)
4.73318484151088e+001	(-8.23151750460679e-003dB,-3.40846282261622e+000°)
4.76965315098654e+001	(-8.35024549912031e-003dB,-3.43470875078720e+000°)
4.80640244200858e+001	(-8.47080843534914e-003dB,-3.46115653481707e+000°)
4.84343487948757e+001	(-8.59323464624939e-003dB,-3.48780772149615e+000°)
4.88075264501435e+001	(-8.71755290149766e-003dB,-3.51466386933559e+000°)
4.91835793698848e+001	(-8.84379241409771e-003dB,-3.54172654865305e+000°)
4.95625297074781e+001	(-8.97198284724891e-003dB,-3.56899734165903e+000°)
4.99443997869894e+001	(-9.10215432124963e-003dB,-3.59647784254373e+000°)
5.03292121044874e+001	(-9.23433742050511e-003dB,-3.62416965756442e+000°)
5.07169893293691e+001	(-9.36856320066892e-003dB,-3.65207440513343e+000°)
5.11077543056946e+001	(-9.50486319582162e-003dB,-3.68019371590666e+000°)
5.15015300535337e+001	(-9.64326942589035e-003dB,-3.70852923287268e+000°)
5.18983397703212e+001	(-9.78381440402373e-003dB,-3.73708261144239e+000°)
5.22982068322239e+001	(-9.92653114421952e-003dB,-3.76585551953924e+000°)
5.27011547955177e+001	(-1.00714531689880e-002dB,-3.79484963768999e+000°)
5.31072073979752e+001	(-1.02186145171109e-002dB,-3.82406665911613e+000°)
5.35163885602642e+001	(-1.03680497516100e-002dB,-3.85350828982576e+000°)
5.39287223873565e+001	(-1.05197939677782e-002dB,-3.88317624870611e+000°)
5.43442331699487e+001	(-1.06738828012933e-002dB,-3.91307226761662e+000°)
5.47629453858922e+001	(-1.08303524365416e-002dB,-3.94319809148258e+000°)
5.51848837016362e+001	(-1.09892396150241e-002dB,-3.97355547838937e+000°)
5.56100729736798e+001	(-1.11505816438832e-002dB,-4.00414619967727e+000°)
5.60385382500372e+001	(-1.13144164045624e-002dB,-4.03497204003682e+000°)
5.64703047717127e+001	(-1.14807823616309e-002dB,-4.06603479760478e+000°)
5.69053979741879e+001	(-1.16497185716623e-002dB,-4.09733628406071e+000°)
5.73438434889201e+001	(-1.18212646923521e-002dB,-4.12887832472406e+000°)
5.77856671448521e+001	(-1.19954609917078e-002dB,-4.16066275865188e+000°)
5.82308949699339e+001	(-1.21723483573832e-002dB,-4.19269143873708e+000°)
5.86795531926563e+001	(-1.23519683061138e-002dB,-4.22496623180737e+000°)
5.91316682435953e+001	(-1.25343629934932e-002dB,-4.25748901872462e+000°)
5.95872667569700e+001	(-1.27195752235504e-002dB,-4.29026169448495e+000°)
6.00463755722109e+001	(-1.29076484588376e-002dB,-4.32328616831937e+000°)
6.05090217355415e+001	(-1.30986268303730e-002dB,-4.35656436379489e+000°)
6.09752325015714e+001	(-1.32925551479677e-002dB,-4.39009821891642e+000°)
6.14450353349017e+001	(-1.34894789105782e-002dB,-4.42388968622905e+000°)
6.19184579117435e+001	(-1.36894443167555e-002dB,-4.45794073292106e+000°)
6.23955281215477e+001	(-1.38924982754429e-002dB,-4.49225334092744e+000°)
6.28762740686483e+001	(-1.40986884168085e-002dB,-4.52682950703399e+000°)
6.33607240739179e+001	(-1.43080631032081e-002dB,-4.56167124298205e+000°)
6.38489066764365e+001	(-1.45206714404722e-002dB,-4.59678057557379e+000°)
6.43408506351719e+001	(-1.47365632891312e-002dB,-4.63215954677808e+000°)
6.48365849306747e+001	(-1.49557892760480e-002dB,-4.66781021383691e+000°)
6.53361387667853e+001	(-1.51784008061030e-002dB,-4.70373464937246e+000°)
6.58395415723541e+001	(-1.54044500739482e-002dB,-4.73993494149467e+000°)
6.63468230029754e+001	(-1.56339900762802e-002dB,-4.77641319390947e+000°)
6.68580129427343e+001	(-1.58670746238486e-002dB,-4.81317152602752e+000°)
6.73731415059674e+001	(-1.61037583540206e-002dB,-4.85021207307353e+000°)
6.78922390390363e+001	(-1.63440967433372e-002dB,-4.88753698619625e+000°)
6.84153361221160e+001	(-1.65881461203071e-002dB,-4.92514843257883e+000°)
6.89424635709960e+001	(-1.68359636784162e-002dB,-4.96304859555002e+000°)
6.94736524388957e+001	(-1.70876074892490e-002dB,-5.00123967469568e+000°)
7.00089340182937e+001	(-1.73431365159510e-002dB,-5.03972388597101e+000°)
7.05483398427714e+001	(-1.76026106267643e-002dB,-5.07850346181333e+000°)
7.10919016888707e+001	(-1.78660906088074e-002dB,-5.11758065125536e+000°)
7.16396515779656e+001	(-1.81336381820721e-002dB,-5.15695772003909e+000°)
7.21916217781491e+001	(-1.84053160136242e-002dB,-5.19663695073024e+000°)
7.27478448061337e+001	(-1.86811877320160e-002dB,-5.23662064283321e+000°)
7.33083534291671e+001	(-1.89613179419407e-002dB,-5.27691111290662e+000°)
7.38731806669627e+001	(-1.92457722390098e-002dB,-5.31751069467940e+000°)
7.44423597936445e+001	(-1.95346172249080e-002dB,-5.35842173916738e+000°)
7.50159243397075e+001	(-1.98279205226005e-002dB,-5.39964661479047e+000°)
7.55939080939930e+001	(-2.01257507919309e-002dB,-5.44118770749033e+000°)
7.61763451056790e+001	(-2.04281777453282e-002dB,-5.48304742084860e+000°)
7.67632696862860e+001	(-2.07352721638172e-002dB,-5.52522817620567e+000°)
7.73547164116984e+001	(-2.10471059132042e-002dB,-5.56773241277989e+000°)
7.79507201242016e+001	(-2.13637519606126e-002dB,-5.61056258778739e+000°)
7.85513159345341e+001	(-2.16852843911326e-002dB,-5.65372117656237e+000°)
7.91565392239561e+001	(-2.20117784248293e-002dB,-5.69721067267790e+000°)
7.97664256463339e+001	(-2.23433104339080e-002dB,-5.74103358806719e+000°)
8.03810111302403e+001	(-2.26799579602393e-002dB,-5.78519245314541e+000°)
8.10003318810709e+001	(-2.30217997330377e-002dB,-5.82968981693194e+000°)
8.16244243831773e+001	(-2.33689156868684e-002dB,-5.87452824717318e+000°)
8.22533254020162e+001	(-2.37213869799491e-002dB,-5.91971033046572e+000°)
8.28870719863152e+001	(-2.40792960125797e-002dB,-5.96523867238004e+000°)
8.35257014702557e+001	(-2.44427264460847e-002dB,-6.01111589758476e+000°)
8.41692514756717e+001	(-2.48117632217236e-002dB,-6.05734464997113e+000°)
8.48177599142668e+001	(-2.51864925802225e-002dB,-6.10392759277815e+000°)
8.54712649898469e+001	(-2.55670020813086e-002dB,-6.15086740871807e+000°)
8.61298052005714e+001	(-2.59533806236865e-002dB,-6.19816680010227e+000°)
8.67934193412207e+001	(-2.63457184652765e-002dB,-6.24582848896761e+000°)
8.74621465054817e+001	(-2.67441072437265e-002dB,-6.29385521720321e+000°)
8.81360260882512e+001	(-2.71486399973085e-002dB,-6.34224974667753e+000°)
8.88150977879560e+001	(-2.75594111859425e-002dB,-6.39101485936596e+000°)
8.94994016088921e+001	(-2.79765167127568e-002dB,-6.44015335747870e+000°)
9.01889778635812e+001	(-2.84000539458002e-002dB,-6.48966806358908e+000°)
9.08838671751453e+001	(-2.88301217401485e-002dB,-6.53956182076215e+000°)
9.15841104797002e+001	(-2.92668204602678e-002dB,-6.58983749268369e+000°)
9.22897490287667e+001	(-2.97102520028316e-002dB,-6.64049796378954e+000°)
9.30008243917010e+001	(-3.01605198197518e-002dB,-6.69154613939525e+000°)
9.37173784581436e+001	(-3.06177289415322e-002dB,-6.74298494582599e+000°)
9.44394534404865e+001	(-3.10819860011279e-002dB,-6.79481733054683e+000°)
9.51670918763607e+001	(-3.15533992579377e-002dB,-6.84704626229326e+000°)
9.59003366311416e+001	(-3.20320786223329e-002dB,-6.89967473120201e+000°)
9.66392309004744e+001	(-3.25181356804211e-002dB,-6.95270574894204e+000°)
9.73838182128186e+001	(-3.30116837191952e-002dB,-7.00614234884594e+000°)
9.81341424320126e+001	(-3.35128377521199e-002dB,-7.05998758604130e+000°)
9.88902477598572e+001	(-3.40217145449788e-002dB,-7.11424453758259e+000°)
9.96521787387202e+001	(-3.45384326422029e-002dB,-7.16891630258296e+000°)
1.00419980254160e+002	(-3.50631123934818e-002dB,-7.22400600234637e+000°)
1.01193697537569e+002	(-3.55958759808402e-002dB,-7.27951678049984e+000°)
1.01973376168842e+002	(-3.61368474460798e-002dB,-7.33545180312584e+000°)
1.02759062079053e+002	(-3.66861527185731e-002dB,-7.39181425889478e+000°)
1.03550801553173e+002	(-3.72439196435614e-002dB,-7.44860735919761e+000°)
1.04348641232785e+002	(-3.78102780107336e-002dB,-7.50583433827855e+000°)
1.05152628118838e+002	(-3.83853595833165e-002dB,-7.56349845336778e+000°)
1.05962809574417e+002	(-3.89692981275554e-002dB,-7.62160298481427e+000°)
1.06779233327527e+002	(-3.95622294425799e-002dB,-7.68015123621859e+000°)
1.07601947473912e+002	(-4.01642913907443e-002dB,-7.73914653456571e+000°)
1.08431000479881e+002	(-4.07756239284319e-002dB,-7.79859223035776e+000°)
1.09266441185170e+002	(-4.13963691371407e-002dB,-7.85849169774678e+000°)
1.10108318805816e+002	(-4.20266712552665e-002dB,-7.91884833466737e+000°)
1.10956682937053e+002	(-4.26666767101230e-002dB,-7.97966556296927e+000°)
1.11811583556242e+002	(-4.33165341504853e-002dB,-8.04094682854970e+000°)
1.12673071025806e+002	(-4.39763944796789e-002dB,-8.10269560148580e+000°)
1.13541196096204e+002	(-4.46464108889849e-002dB,-8.16491537616660e+000°)
1.14416009908916e+002	(-4.53267388917030e-002dB,-8.22760967142495e+000°)
1.15297563999459e+002	(-4.60175363574942e-002dB,-8.29078203066923e+000°)
1.16185910300421e+002	(-4.67189635473944e-002dB,-8.35443602201471e+000°)
1.17081101144519e+002	(-4.74311831492006e-002dB,-8.41857523841466e+000°)
1.17983189267688e+002	(-4.81543603134196e-002dB,-8.48320329779116e+000°)
1.18892227812181e+002	(-4.88886626897004e-002dB,-8.54832384316549e+000°)
1.19808270329701e+002	(-4.96342604637570e-002dB,-8.61394054278819e+000°)
1.20731370784559e+002	(-5.03913263949048e-002dB,-8.68005709026867e+000°)
1.21661583556852e+002	(-5.11600358539432e-002dB,-8.74667720470440e+000°)
1.22598963445661e+002	(-5.19405668617926e-002dB,-8.81380463080947e+000°)
1.23543565672289e+002	(-5.27331001284689e-002dB,-8.88144313904288e+000°)
1.24495445883506e+002	(-5.35378190927865e-002dB,-8.94959652573599e+000°)
1.25454660154830e+002	(-5.43549099624029e-002dB,-9.01826861321952e+000°)
1.26421264993831e+002	(-5.51845617546358e-002dB,-9.08746324994989e+000°)
1.27395317343459e+002	(-5.60269663377310e-002dB,-9.15718431063486e+000°)
1.28376874585401e+002	(-5.68823184726469e-002dB,-9.22743569635838e+000°)
1.29365994543455e+002	(-5.77508158555907e-002dB,-9.29822133470483e+000°)
1.30362735486945e+002	(-5.86326591609733e-002dB,-9.36954517988226e+000°)
1.31367156134146e+002	(-5.95280520850626e-002dB,-9.44141121284496e+000°)
1.32379315655748e+002	(-6.04372013901646e-002dB,-9.51382344141494e+000°)
1.33399273678340e+002	(-6.13603169494842e-002dB,-9.58678590040263e+000°)
1.34427090287923e+002	(-6.22976117925028e-002dB,-9.66030265172647e+000°)
1.35462826033449e+002	(-6.32493021511204e-002dB,-9.73437778453151e+000°)
1.36506541930388e+002	(-6.42156075062600e-002dB,-9.80901541530692e+000°)
1.37558299464324e+002	(-6.51967506352239e-002dB,-9.88421968800226e+000°)
1.38618160594575e+002	(-6.61929576596856e-002dB,-9.95999477414271e+000°)
1.39686187757845e+002	(-6.72044580942030e-002dB,-1.00363448729429e+001°)
1.40762443871900e+002	(-6.82314848956244e-002dB,-1.01132742114194e+001°)
1.41846992339277e+002	(-6.92742745129240e-002dB,-1.01907870445022e+001°)
1.42939897051016e+002	(-7.03330669378408e-002dB,-1.02688876551442e+001°)
1.44041222390428e+002	(-7.14081057561758e-002dB,-1.03475803544297e+001°)
1.45151033236884e+002	(-7.24996381997514e-002dB,-1.04268694816808e+001°)
1.46269394969637e+002	(-7.36079151990689e-002dB,-1.05067594045630e+001°)
1.47396373471679e+002	(-7.47331914366714e-002dB,-1.05872545191886e+001°)
1.48532035133614e+002	(-7.58757254012912e-002dB,-1.06683592502180e+001°)
1.49676446857576e+002	(-7.70357794425336e-002dB,-1.07500780509600e+001°)
1.50829676061166e+002	(-7.82136198264743e-002dB,-1.08324154034699e+001°)
1.51991790681426e+002	(-7.94095167919043e-002dB,-1.09153758186451e+001°)
1.53162859178840e+002	(-8.06237446072479e-002dB,-1.09989638363198e+001°)
1.54342950541367e+002	(-8.18565816284059e-002dB,-1.10831840253566e+001°)
1.55532134288507e+002	(-8.31083103571382e-002dB,-1.11680409837365e+001°)
1.56730480475391e+002	(-8.43792175004087e-002dB,-1.12535393386463e+001°)
1.57938059696916e+002	(-8.56695940303305e-002dB,-1.13396837465640e+001°)
1.59154943091898e+002	(-8.69797352449957e-002dB,-1.14264788933417e+001°)
1.60381202347263e+002	(-8.83099408300788e-002dB,-1.15139294942856e+001°)
1.61616909702274e+002	(-8.96605149211538e-002dB,-1.16020402942345e+001°)
1.62862137952781e+002	(-9.10317661669248e-002dB,-1.16908160676342e+001°)
1.64116960455516e+002	(-9.24240077931351e-002dB,-1.17802616186102e+001°)
1.65381451132408e+002	(-9.38375576674754e-002dB,-1.18703817810377e+001°)
1.66655684474943e+002	(-9.52727383650665e-002dB,-1.19611814186073e+001°)
1.67939735548547e+002	(-9.67298772349855e-002dB,-1.20526654248895e+001°)
1.69233679997015e+002	(-9.82093064675168e-002dB,-1.21448387233947e+001°)
1.70537594046961e+002	(-9.97113631622848e-002dB,-1.22377062676308e+001°)
1.71851554512312e+002	(-1.01236389397231e-001dB,-1.23312730411569e+001°)
1.73175638798830e+002	(-1.02784732298444e-001dB,-1.24255440576340e+001°)
1.74509924908676e+002	(-1.04356744110853e-001dB,-1.25205243608722e+001°)
1.75854491445003e+002	(-1.05952782269800e-001dB,-1.26162190248738e+001°)
1.77209417616585e+002	(-1.07573209473497e-001dB,-1.27126331538733e+001°)
1.78574783242489e+002	(-1.09218393756351e-001dB,-1.28097718823729e+001°)
1.79950668756767e+002	(-1.10888708563193e-001dB,-1.29076403751747e+001°)
1.81337155213206e+002	(-1.12584532824445e-001dB,-1.30062438274083e+001°)
1.82734324290093e+002	(-1.14306251032075e-001dB,-1.31055874645546e+001°)
1.84142258295035e+002	(-1.16054253316641e-001dB,-1.32056765424648e+001°)
1.85561040169801e+002	(-1.17828935525076e-001dB,-1.33065163473754e+001°)
1.86990753495211e+002	(-1.19630699299556e-001dB,-1.34081121959186e+001°)
1.88431482496062e+002	(-1.21459952157161e-001dB,-1.35104694351278e+001°)
1.89883312046085e+002	(-1.23317107570585e-001dB,-1.36135934424383e+001°)
1.91346327672948e+002	(-1.25202585049732e-001dB,-1.37174896256831e+001°)
1.92820615563294e+002	(-1.27116810224274e-001dB,-1.38221634230840e+001°)
1.94306262567818e+002	(-1.29060214927193e-001dB,-1.39276203032364e+001°)
1.95803356206384e+002	(-1.31033237279168e-001dB,-1.40338657650901e+001°)
1.97311984673180e+002	(-1.33036321774170e-001dB,-1.41409053379234e+001°)
1.98832236841913e+002	(-1.35069919365721e-001dB,-1.42487445813126e+001°)
2.00364202271045e+002	(-1.37134487554408e-001dB,-1.43573890850943e+001°)
2.01907971209073e+002	(-1.39230490476181e-001dB,-1.44668444693235e+001°)
2.03463634599836e+002	(-1.41358398991757e-001dB,-1.45771163842239e+001°)
2.05031284087884e+002	(-1.43518690776933e-001dB,-1.46882105101329e+001°)
2.06611012023868e+002	(-1.45711850413974e-001dB,-1.48001325574401e+001°)
2.08202911469985e+002	(-1.47938369483926e-001dB,-1.49128882665188e+001°)
2.09807076205457e+002	(-1.50198746659991e-001dB,-1.50264834076509e+001°)
2.11423600732059e+002	(-1.52493487801828e-001dB,-1.51409237809450e+001°)
2.13052580279686e+002	(-1.54823106050972e-001dB,-1.52562152162474e+001°)
2.14694110811958e+002	(-1.57188121927203e-001dB,-1.53723635730453e+001°)
2.16348289031880e+002	(-1.59589063425867e-001dB,-1.54893747403634e+001°)
2.18015212387535e+002	(-1.62026466116339e-001dB,-1.56072546366517e+001°)
2.19694979077824e+002	(-1.64500873241454e-001dB,-1.57260092096669e+001°)
2.21387688058254e+002	(-1.67012835817887e-001dB,-1.58456444363442e+001°)
2.23093439046765e+002	(-1.69562912737661e-001dB,-1.59661663226622e+001°)
2.24812332529605e+002	(-1.72151670870621e-001dB,-1.60875809034985e+001°)
2.26544469767249e+002	(-1.74779685167917e-001dB,-1.62098942424773e+001°)
2.28289952800368e+002	(-1.77447538766571e-001dB,-1.63331124318074e+001°)
2.30048884455835e+002	(-1.80155823094989e-001dB,-1.64572415921121e+001°)
