0	2
0.001	1.996
0.002	1.99202
0.003	1.98804
0.004	1.98406
0.005	1.9801
0.006	1.97614
0.007	1.9722
0.008	1.96825
0.009	1.96432
0.01	1.9604
0.011	1.95648
0.012	1.95257
0.013	1.94867
0.014	1.94478
0.015	1.94089
0.016	1.93701
0.017	1.93314
0.018	1.92928
0.019	1.92543
0.02	1.92158
0.021	1.91774
0.022	1.91391
0.023	1.91008
0.024	1.90627
0.025	1.90246
0.026	1.89866
0.027	1.89486
0.028	1.89108
0.029	1.8873
0.03	1.88353
0.031	1.87977
0.032	1.87601
0.033	1.87226
0.034	1.86852
0.035	1.86479
0.036	1.86106
0.037	1.85734
0.038	1.85363
0.039	1.84993
0.04	1.84623
0.041	1.84254
0.042	1.83886
0.043	1.83519
0.044	1.83152
0.045	1.82786
0.046	1.82421
0.047	1.82057
0.048	1.81693
0.049	1.8133
0.05	1.80967
0.051	1.80606
0.052	1.80245
0.053	1.79885
0.054	1.79526
0.055	1.79167
0.056	1.78809
0.057	1.78452
0.058	1.78095
0.059	1.77739
0.06	1.77384
0.061	1.7703
0.062	1.76676
0.063	1.76323
0.064	1.75971
0.065	1.75619
0.066	1.75268
0.067	1.74918
0.068	1.74569
0.069	1.7422
0.07	1.73872
0.071	1.73524
0.072	1.73178
0.073	1.72832
0.074	1.72486
0.075	1.72142
0.076	1.71798
0.077	1.71454
0.078	1.71112
0.079	1.7077
0.08	1.70429
0.081	1.70088
0.082	1.69748
0.083	1.69409
0.084	1.69071
0.085	1.68733
0.086	1.68396
0.087	1.68059
0.088	1.67724
0.089	1.67388
0.09	1.67054
0.091	1.6672
0.092	1.66387
0.093	1.66055
0.094	1.65723
0.095	1.65392
0.096	1.65061
0.097	1.64732
0.098	1.64402
0.099	1.64074
0.1	1.63746
0.101	1.63419
0.102	1.63092
0.103	1.62767
0.104	1.62441
0.105	1.62117
0.106	1.61793
0.107	1.6147
0.108	1.61147
0.109	1.60825
0.11	1.60504
0.111	1.60183
0.112	1.59863
0.113	1.59544
0.114	1.59225
0.115	1.58907
0.116	1.58589
0.117	1.58272
0.118	1.57956
0.119	1.57641
0.12	1.57326
0.121	1.57011
0.122	1.56698
0.123	1.56384
0.124	1.56072
0.125	1.5576
0.126	1.55449
0.127	1.55138
0.128	1.54828
0.129	1.54519
0.13	1.5421
0.131	1.53902
0.132	1.53595
0.133	1.53288
0.134	1.52982
0.135	1.52676
0.136	1.52371
0.137	1.52066
0.138	1.51763
0.139	1.51459
0.14	1.51157
0.141	1.50855
0.142	1.50553
0.143	1.50253
0.144	1.49952
0.145	1.49653
0.146	1.49354
0.147	1.49055
0.148	1.48757
0.149	1.4846
0.15	1.48164
0.151	1.47868
0.152	1.47572
0.153	1.47277
0.154	1.46983
0.155	1.46689
0.156	1.46396
0.157	1.46104
0.158	1.45812
0.159	1.45521
0.16	1.4523
0.161	1.4494
0.162	1.4465
0.163	1.44361
0.164	1.44073
0.165	1.43785
0.166	1.43497
0.167	1.43211
0.168	1.42925
0.169	1.42639
0.17	1.42354
0.171	1.4207
0.172	1.41786
0.173	1.41502
0.174	1.4122
0.175	1.40938
0.176	1.40656
0.177	1.40375
0.178	1.40095
0.179	1.39815
0.18	1.39535
0.181	1.39256
0.182	1.38978
0.183	1.38701
0.184	1.38423
0.185	1.38147
0.186	1.37871
0.187	1.37595
0.188	1.3732
0.189	1.37046
0.19	1.36772
0.191	1.36499
0.192	1.36226
0.193	1.35954
0.194	1.35682
0.195	1.35411
0.196	1.35141
0.197	1.34871
0.198	1.34601
0.199	1.34332
0.2	1.34064
0.201	1.33796
0.202	1.33529
0.203	1.33262
0.204	1.32996
0.205	1.3273
0.206	1.32465
0.207	1.322
0.208	1.31936
0.209	1.31672
0.21	1.31409
0.211	1.31147
0.212	1.30885
0.213	1.30623
0.214	1.30362
0.215	1.30102
0.216	1.29842
0.217	1.29582
0.218	1.29324
0.219	1.29065
0.22	1.28807
0.221	1.2855
0.222	1.28293
0.223	1.28037
0.224	1.27781
0.225	1.27526
0.226	1.27271
0.227	1.27017
0.228	1.26763
0.229	1.26509
0.23	1.26257
0.231	1.26004
0.232	1.25753
0.233	1.25501
0.234	1.25251
0.235	1.25
0.236	1.24751
0.237	1.24501
0.238	1.24253
0.239	1.24004
0.24	1.23757
0.241	1.23509
0.242	1.23263
0.243	1.23016
0.244	1.22771
0.245	1.22525
0.246	1.2228
0.247	1.22036
0.248	1.21792
0.249	1.21549
0.25	1.21306
0.251	1.21064
0.252	1.20822
0.253	1.2058
0.254	1.2034
0.255	1.20099
0.256	1.19859
0.257	1.1962
0.258	1.19381
0.259	1.19142
0.26	1.18904
0.261	1.18667
0.262	1.18429
0.263	1.18193
0.264	1.17957
0.265	1.17721
0.266	1.17486
0.267	1.17251
0.268	1.17017
0.269	1.16783
0.27	1.1655
0.271	1.16317
0.272	1.16084
0.273	1.15852
0.274	1.15621
0.275	1.1539
0.276	1.15159
0.277	1.14929
0.278	1.147
0.279	1.14471
0.28	1.14242
0.281	1.14014
0.282	1.13786
0.283	1.13558
0.284	1.13332
0.285	1.13105
0.286	1.12879
0.287	1.12654
0.288	1.12428
0.289	1.12204
0.29	1.1198
0.291	1.11756
0.292	1.11533
0.293	1.1131
0.294	1.11087
0.295	1.10865
0.296	1.10644
0.297	1.10423
0.298	1.10202
0.299	1.09982
0.3	1.09762
0.301	1.09543
0.302	1.09324
0.303	1.09106
0.304	1.08888
0.305	1.0867
0.306	1.08453
0.307	1.08236
0.308	1.0802
0.309	1.07804
0.31	1.07589
0.311	1.07374
